Timestamp,Height1,Height2
20241010-145226,0,240
20241010-145237,147,240
20241010-145247,0,240
20241010-145257,0,240
20241010-145307,147,241
20241010-145317,147,241
20241010-145327,147,240
20241010-145337,147,241
20241010-145347,0,241
